SampleID,Locality,Ocean,Class,Order,Family,Genus,species,taxonomy,tree names,55 selected,rank,GenBank#
5Nem1335D03,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5Nem1335D03,yes,species,KT448337.1
5Nem1335H04,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5Nem1335H04,yes,species,KT448348.1
5NemJLNA02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNA02,yes,species,KT448337.1
5NemJLNA08,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNA08,yes,species,KT448288.1
5NemJLNA09,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNA09,yes,species,KT448337.1
5NemJLNB02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNB02,yes,species,KT448348.1
5NemJLNB08,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNB08,yes,species,KT448288.1
5NemJLNB09,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,Ototyphlonemertes_macintoshi,5NemJLNB09,yes,species,KT448326.1
5NemJLND02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,Ototyphlonemertes_macintoshi,5NemJLND02,yes,species,KT448326.1
5NemJLND05,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLND05,yes,species,KT448288.1
